Country,Region,IMF estimation,IMF year,World Bank estimation,World Bank year,CIA estimation,CIA year
�China,Asia,"33,014,998",2023,"27,312,548",2021,"23,009,780",2020
United States,Americas,"26,854,599",2023,"22,996,100",2021,"19,846,720",2020
India,Asia,"13,033,443",2023,"10,218,573",2021,"8,443,360",2020
Japan,Asia,"6,456,527",2023,"5,396,819",2021,"5,224,850",2019
Germany,Europe,"5,545,656",2023,"4,815,479",2021,"4,238,800",2020
Russia,Europe,"4,988,829",2023,"4,785,445",2021,"3,875,690",2020
Indonesia,Asia,"4,398,729",2023,"3,566,265",2021,"3,130,470",2020
Brazil,Americas,"4,020,381",2023,"3,435,882",2021,"2,989,430",2020
France,Europe,"3,872,729",2023,"3,424,152",2021,"2,832,170",2020
United Kingdom,Europe,"3,846,931",2023,"3,344,468",2021,"2,797,980",2020
Turkey,Asia,"3,572,551",2023,"2,591,455",2021,"2,393,960",2020
Italy,Europe,"3,195,548",2023,"2,713,266",2021,"2,322,140",2020
Mexico,Americas,"3,125,902",2023,"2,609,993",2021,"2,306,320",2020
South Korea,Asia,"2,924,038",2023,"2,427,791",2021,"2,187,800",2020
Canada,Americas,"2,385,124",2023,"1,992,050",2021,"1,742,790",2020
Spain,Europe,"2,363,535",2023,"1,929,759",2021,"1,714,860",2020
Saudi Arabia,Asia,"2,300,967",2023,"1,751,178",2021,"1,543,240",2020
Egypt,Africa,"1,803,584",2023,"1,388,329",2021,"1,223,040",2020
Australia,Oceania,"1,718,097",2023,"1,436,442",2021,"1,250,900",2020
Poland,Europe,"1,705,282",2023,"1,416,885",2021,"1,223,460",2020
Iran,Asia,"1,691,819",2023,"1,449,336",2021,"1,044,310",2020
Thailand,Asia,"1,591,402",2023,"1,343,720",2021,"1,206,620",2020
Pakistan,Asia,"1,582,988",2023,"1,323,645",2021,"1,021,130",2020
Bangladesh,Asia,"1,475,164",2023,"1,099,767",2021,"793,490",2020
Vietnam,Asia,"1,450,805",2023,"1,134,151",2021,"798,210",2020
Nigeria,Africa,"1,372,624",2023,"1,154,070",2021,"1,013,530",2020
Netherlands,Europe,"1,290,947",2023,"1,118,051",2021,"945,480",2020
Philippines,Asia,"1,289,281",2023,"1,012,714",2021,"871,560",2020
Argentina,Americas,"1,274,807",2023,"1,082,341",2021,"893,310",2020
Malaysia,Asia,"1,230,823",2023,"970,742",2021,"855,600",2020
Colombia,Americas,"1,014,978",2023,"866,076",2021,"683,940",2020
South Africa,Africa,"990,030",2023,"865,816",2021,"680,040",2020
United Arab Emirates,Asia,"890,171",2023,"660,343",2020,"655,790",2019
Romania,Europe,"783,903",2023,"676,944",2021,"556,070",2020
Switzerland,Europe,"774,472",2023,"672,544",2021,"590,710",2020
Belgium,Europe,"766,025",2023,"682,885",2021,"557,110",2020
Singapore,Asia,"757,726",2023,"635,267",2021,"531,040",2020
Ireland,Europe,"752,831",2023,"535,284",2021,"447,970",2020
Sweden,Europe,"712,023",2023,"617,907",2021,"524,750",2020
Kazakhstan,Asia,"652,597",2023,"543,474",2021,"475,180",2020
Austria,Europe,"630,387",2023,"523,293",2021,"463,120",2020
Algeria,Africa,"620,971",2023,"537,072",2021,"468,400",2020
Chile,Americas,"595,599",2023,559.158,2021,"445,880",2020
Iraq,Asia,"560,307",2023,"428,634",2021,"372,270",2020
Peru,Americas,"556,680",2023,"463,538",2021,"371,290",2020
Hong Kong,Asia,"544,735",2023,"489,061",2021,"420,130",2020
Czech Republic,Europe,"536,906",2023,"473,744",2021,"409,970",2020
Israel,Asia,"533,992",2023,"409,409",2021,"353,390",2020
Portugal,Europe,"460,130",2023,"369,627",2021,"331,640",2020
Norway,Europe,"452,996",2023,"428,346",2021,"342,060",2020
Ukraine,Europe,"444,194",2023,"588,384",2021,"516,680",2020
Denmark,Europe,"432,489",2023,"378,645",2021,"326,200",2020
Hungary,Europe,"426,941",2023,"356,863",2021,"302,320",2020
Greece,Europe,"418,113",2023,"333,749",2021,"292,400",2020
Ethiopia,Africa,"393,847",2023,"306,447",2021,"264,050",2020
Morocco,Africa,"387,233",2023,"309,101",2021,"259,420",2020
Uzbekistan,Asia,"371,346",2023,"296,689",2021,"239,420",2020
Kenya,Africa,"341,999",2023,"276,221",2021,"226,940",2020
Finland,Europe,"338,004",2023,"304,830",2021,"261,390",2020
Qatar,Asia,"326,731",2023,"274,067",2021,"245,660",2020
Sri Lanka,Asia,"321,979",2023,"313,002",2021,"274,800",2020
New Zealand,Oceania,"278,904",2023,"237,789",2021,"215,600",2020
Myanmar,Asia,"278,156",2023,"238,129",2021,"247,240",2020
Dominican Republic,Americas,"277,741",2023,"227,500",2021,"184,450",2020
Angola,Africa,"265,631",2023,"223,319",2021,"203,710",2020
Kuwait,Asia,"259,640",2023,"202,011",2020,"209,740",2019
